EntryID,Source,Year,Month,Day,Asking Price,Real Price,Street,No,Street2,No2,Size,Revenu,brut,net,Price,SalesPrice,yield,yields,Charges,CreditF,Credit,Annuite,CreditFonc,InitMiseAPrix,Comment,Type,"Date 
Completed"
365,Figaro,1882,5,13,0,0,Rue Saussure,70,,,,10285,0,,100000,,0.10285,,,0,0,,0,,,,India
366,Figaro,1882,5,15,0,0,Rue Montaigne,8,Rue Rabelais,28,220,12000,0,,180000,,0.066666667,,,0,,,0,,,,India
367,Figaro,1882,5,15,0,0,Rue Linne,49,,,,38140,0,,545000,,0.069981651,,,0,,,0,,,,India
368,Figaro,1882,5,17,0,0,Rue d'Argenteuil,15,,,,36779,0,,630000,,0.058379365,,,0,,,0,,,,India
369,Figaro,1882,5,17,0,0,Place du Havre,13,,,,25000,0,,350000,,0.071428571,,,0,,,0,,,,India
370,Figaro,1882,5,19,0,0,Avenue de Clichy,8,,,,25000,0,,350000,,0.071428571,,,0,,,0,,,,India
371,Figaro,1882,5,23,0,0,Rue Damremont,100,,,,10100,0,,130000,,0.077692308,,,0,,,0,,,,India
372,Figaro,1882,5,23,0,0,Quartier des rue Demours,,de la rue Bayen,,523.4,4500,0,,90000,,0.05,,,0,,,0,,,,India
373,Figaro,1882,5,24,0,0,Rue de Poitou,34,,,,12220,0,,90000,,0.135777778,,,0,,,0,,,,India
374,Figaro,1882,5,25,0,0,Rue Lemercier,36,,,,5960,1,,70000,,0.085142857,,,0,0,,0,,,,India
375,Figaro,1882,5,26,0,0,Rue Rochebrune,18,,,360.6,2727,1,,130000,,0.020976923,,,0,,,0,,,,India
376,Figaro,1882,5,28,0,0,Rue Lhomond,39,,,,5300,1,,60000,,0.088333333,,,0,,,0,,,,India
377,Figaro,1882,6,3,0,0,Rue de passy,15,,,412,5670,1,,90000,,0.063,,,0,,,0,,,,India
378,Figaro,1882,6,3,0,0,Rue Damremont,110,,,,10100,0,,130000,,0.077692308,,,0,0,,0,,,,India
379,Figaro,1882,6,5,0,0,Rue Laborde,42,,,,30000,0,,350000,,0.085714286,,,0,,,0,,,,India
380,Figaro,1882,6,8,0,0,Rue Brey,30,,,,5970,0,,20000,,0.2985,,,0,,,0,,,,India
381,Figaro,1882,6,8,0,0,Rue des Batignolles,52,,,,14070,1,,140000,,0.1005,,,0,,,0,,,,India
382,Figaro,1882,6,9,0,0,Rue Ordener,109,,,,12457,0,,185000,,0.067335135,,,0,,,0,,,,India
383,Figaro,1882,6,10,0,0,Rue Nicolle,19,,,,7500,1,,120000,,0.0625,,,0,,,0,,,,India
384,Figaro,1882,6,11,0,0,Boulevard Beaumarnelles,60,,,,60910,0,,650000,,0.093707692,,,0,,,0,,,,India
385,Figaro,1882,6,11,0,0,Quai de la Tournelle,37,,,,14910,1,,150000,,0.0994,,,0,,,0,,,,India
386,Figaro,1882,6,11,0,0,Ru de Lappe,18,,,,10410,1,,100000,,0.1041,,,0,,,0,,,,India
387,Figaro,1882,6,13,0,0,Rue Ravignan,2,,,,6200,1,,60000,,0.103333333,,,0,,,0,,,,India
388,Figaro,1882,6,14,0,0,Rue des Poissonniers,56,,,,5700,1,,60000,,0.095,,,0,,,0,,,,India
389,Figaro,1882,6,17,0,0,Rue du Poteau,8,,,,7250,1,,85000,,0.085294118,,,0,,,0,,,,India
390,Figaro,1882,6,17,0,0,Rue Ramey,62,,,,14660,1,,180000,,0.081444444,,,0,0,,0,,,,India
391,Figaro,1882,6,17,0,0,Boulevard Ornano,51,,,,10210,1,,150000,,0.068066667,,,0,,,0,,,,India
392,Figaro,1882,6,17,0,0,Rue Championnet,94_96,,,,13670,1,,160000,,0.0854375,,,0,,,0,,,,India
393,Figaro,1882,6,18,0,0,Rue de Turenne,87,,,210,5550,1,,60000,,0.0925,,,0,,,0,,,,India
394,Figaro,1882,6,22,0,0,Pres la rue de Rennes,,,,2612,32000,1,,150000,,0.213333333,,,0,,,0,,,,India
395,Figaro,1882,6,23,0,0,Rue de Surene,5,,,,26990,1,,400000,,0.067475,,,0,,,0,,,,India
396,Figaro,1882,6,25,0,0,Rue Saussure,56,,,420,8250,1,,100000,,0.0825,,,0,,,0,,,,India
397,Figaro,1882,6,25,0,0,Rue Polonceau,47,,,,6324,0,,60000,,0.1054,,,0,,,0,,,,India
398,Figaro,1882,6,26,0,0,Rue Louis-le-Grand,8,,,,5200,0,,400000,,0.013,,,0,,,0,,,,India
399,Figaro,1882,6,26,0,0,Rue du General-Foy,3,,,,28725,0,,400000,,0.0718125,,,0,0,,0,,,,India
400,Figaro,1882,6,27,0,0,Rue Cotte,18,,,,9620,1,,110000,,0.087454545,,,0,,,0,,,,India
401,Figaro,1882,6,29,0,0,Rue Lemercier,52,,,,12800,0,,150000,,0.085333333,,,0,,,0,,,,India
402,Figaro,1882,6,29,0,0,Rue des Deux-Portes-St-Jean,5,,,,14000,0,,125000,,0.112,,,0,,,0,,,,India
403,Figaro,1882,6,29,0,0,Rue Castex,5,,,,5211,0,,60000,,0.08685,,,0,,,0,,,,India
404,Figaro,1882,6,29,0,0,Rue Juge,12,,,,1950,0,,15000,,0.13,,,0,,,0,,,,India
405,Figaro,1882,7,1,0,0,Place St-Michel,5,,,,31500,1,,450000,,0.07,,,0,,,0,,,,India
406,Figaro,1882,7,2,0,0,Quai des Grands-Augustins,41,,,,9000,0,,100000,,0.09,,,0,,,0,,,,India
407,Figaro,1882,7,3,0,0,Rue des Solitaires,39,,,665.35,2072,1,,25000,,0.08288,,,0,,,0,,,,India
408,Figaro,1882,7,3,0,0,Rue des Partants,8,,,317.35,800,1,,5000,,0.16,,,0,,,0,,,,India
409,Figaro,1882,7,3,0,0,Cite Lemiere,,,,,3220,1,,30000,,0.107333333,,,0,,,0,,,,India
410,Figaro,1882,7,3,0,0,Rue Lassus,5,Nouveau,9,87.26,2600,1,,20000,,0.13,,,0,,,0,,,,India
411,Figaro,1882,7,3,0,0,Cite Henry,12,Rue Compans,44,220.35,863,1,,8000,,0.107875,,,0,,,0,,,,India
